"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000135, 1, 0.000135, svm_C='1.0', svm_gamma='1.0'
3.779741, 1.051712, 3.828869, 1, 0.049129, svm_C='1.0', svm_gamma='1.0'
43.638417, 1.032423, 44.531393, 2, 0.892976, svm_C='3.5135929944640667', svm_gamma='0.2354283412884508'
63.279053, 0.998122, 64.589543, 3, 1.310491, svm_C='2.82043960732495', svm_gamma='0.05792356089499804'
127.452963, 0.926722, 130.438114, 4, 2.985152, svm_C='2.3390144826588326', svm_gamma='0.02516326325446297'
348.485184, 0.912376, 357.158587, 5, 8.673403, svm_C='68.05667428546967', svm_gamma='0.018460980100865724'
393.016553, 0.896970, 403.053388, 6, 10.036835, svm_C='79.0479838548042', svm_gamma='0.014144753336760518'
447.951390, 0.895871, 459.637858, 7, 11.686468, svm_C='52.35665986082658', svm_gamma='0.013721862587953652'
464.247369, 0.889409, 476.532515, 8, 12.285146, svm_C='32.57909680747783', svm_gamma='0.013489369874800702'
601.331294, 0.882514, 618.919683, 9, 17.588389, svm_C='6.150704066783607', svm_gamma='0.012078218931843894'
633.361214, 0.867207, 651.968056, 10, 18.606841, svm_C='2.236278810710112', svm_gamma='0.011261888961580929'
