"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000121, 1, 0.000121, rf_max_features='0.5', rf_n_estimators='10'
2.425652, 1.236995, 2.475631, 1, 0.049978, rf_max_features='0.5', rf_n_estimators='10'
34.827780, 0.552057, 34.948869, 2, 0.121088, rf_max_features='0.3066124236873286', rf_n_estimators='269'
109.409434, 0.542683, 109.637635, 3, 0.228200, rf_max_features='0.5304593760783073', rf_n_estimators='160'
132.179154, 0.541667, 132.508724, 4, 0.329571, rf_max_features='0.4037466328474999', rf_n_estimators='96'
463.693043, 0.541557, 464.891197, 5, 1.198153, rf_max_features='0.5690351325012935', rf_n_estimators='86'
754.453104, 0.539706, 756.774568, 6, 2.321464, rf_max_features='0.7238864987193799', rf_n_estimators='299'
1006.779769, 0.534693, 1009.861540, 7, 3.081771, rf_max_features='0.6738169225259627', rf_n_estimators='188'
1209.594969, 0.533853, 1213.156663, 8, 3.561694, rf_max_features='0.6145270253677999', rf_n_estimators='82'
2323.132334, 0.531609, 2329.460436, 9, 6.328103, rf_max_features='0.5048700923867333', rf_n_estimators='43'
