"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000157, 1, 0.000157, svm_C='1.0', svm_gamma='1.0'
5.042260, 1.051712, 5.117391, 1, 0.075131, svm_C='1.0', svm_gamma='1.0'
52.909772, 1.050040, 54.031667, 2, 1.121894, svm_C='4.801175107597434', svm_gamma='0.28819318254942516'
77.789770, 1.031343, 79.537067, 3, 1.747298, svm_C='1.161741602913529', svm_gamma='0.15108271080077668'
82.943466, 1.007076, 84.818521, 4, 1.875056, svm_C='0.5621730675883224', svm_gamma='0.03411364636665828'
122.201623, 0.904360, 125.104914, 5, 2.903291, svm_C='1.1580047054145821', svm_gamma='0.014999801030211592'
200.101019, 0.901523, 204.960983, 6, 4.859964, svm_C='1.5470203109676783', svm_gamma='0.014999801030211592'
362.834642, 0.880777, 371.990476, 7, 9.155834, svm_C='50.94889030690716', svm_gamma='0.011653789562157025'
380.626230, 0.876665, 390.226075, 8, 9.599846, svm_C='91.20465988441372', svm_gamma='0.011653789562157025'
401.347963, 0.874157, 411.515643, 9, 10.167681, svm_C='53.11077549738887', svm_gamma='0.011653789562157025'
447.625323, 0.872143, 459.187634, 10, 11.562310, svm_C='89.8181766263098', svm_gamma='0.011653789562157025'
