"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000050, 1, 0.000050, pca_whiten=''true''
0.511941, 13.189455, 0.579857, 1, 0.067916, pca_whiten=''true''
