"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000108, 1, 0.000108, svm_C='1.0', svm_gamma='1.0'
3.628558, 1.051712, 3.683790, 1, 0.055232, svm_C='1.0', svm_gamma='1.0'
40.709305, 1.043515, 41.487070, 2, 0.777765, svm_C='3.925594627399441', svm_gamma='0.3188755939176752'
90.143396, 1.042253, 91.994228, 3, 1.850832, svm_C='7.655724892158407', svm_gamma='0.3012182766388736'
92.534791, 1.038843, 94.467204, 4, 1.932413, svm_C='48.278317436058934', svm_gamma='0.21562151406314117'
111.762150, 1.015289, 114.154477, 5, 2.392328, svm_C='44.945391696396634', svm_gamma='0.0872451846879349'
119.493236, 1.007211, 122.085479, 6, 2.592243, svm_C='72.67484305939186', svm_gamma='0.06919895668243829'
130.498320, 0.989518, 133.334600, 7, 2.836280, svm_C='73.25885874206394', svm_gamma='0.055708947433793475'
137.949546, 0.987541, 140.952442, 8, 3.002897, svm_C='72.30062622517369', svm_gamma='0.051739218660108645'
151.027719, 0.933159, 154.311173, 9, 3.283454, svm_C='82.46090652001256', svm_gamma='0.024078888239942593'
152.823899, 0.928283, 156.179654, 10, 3.355754, svm_C='67.65242851608512', svm_gamma='0.024078888239942593'
169.130201, 0.912269, 172.860126, 11, 3.729925, svm_C='66.32015378195284', svm_gamma='0.019444110035107647'
170.910697, 0.907529, 174.693058, 12, 3.782361, svm_C='60.88703650245127', svm_gamma='0.016551226332401442'
188.066821, 0.904289, 192.206366, 13, 4.139545, svm_C='11.42407882948146', svm_gamma='0.016479314822512615'
198.545626, 0.901906, 202.916099, 14, 4.370473, svm_C='19.11812220752892', svm_gamma='0.016551226332401442'
217.722276, 0.898552, 222.540962, 15, 4.818686, svm_C='4.9920343050557285', svm_gamma='0.016551226332401442'
317.522444, 0.895666, 324.925939, 16, 7.403496, svm_C='2.439423732803336', svm_gamma='0.016551226332401442'
499.203249, 0.884814, 511.495327, 17, 12.292077, svm_C='44.219006986566974', svm_gamma='0.01251396365896318'
564.149190, 0.858222, 578.214892, 18, 14.065702, svm_C='95.31096025697204', svm_gamma='0.010066792049113555'
579.658528, 0.856399, 594.151248, 19, 14.492720, svm_C='82.19138884043113', svm_gamma='0.010066792049113555'
