"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000073, 1, 0.000073, svm_C='0.1', svm_gamma='4.005'
1.176599, 0.331965, 1.192010, 1, 0.015411, svm_C='0.1', svm_gamma='4.005'
2.185310, 0.306772, 2.231905, 2, 0.046595, svm_C='100.0', svm_gamma='2.0075'
