"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000094, 1, 0.000094, svm_C='0.1', svm_gamma='4.005'
1.522613, 1.061623, 1.539581, 1, 0.016968, svm_C='0.1', svm_gamma='4.005'
3.091957, 1.028837, 3.152562, 2, 0.060605, svm_C='100.0', svm_gamma='2.0075'
8.987246, 1.022627, 9.177328, 3, 0.190082, svm_C='75.025', svm_gamma='6.0024999999999995'
10.713930, 1.020808, 10.965815, 4, 0.251886, svm_C='100.0', svm_gamma='6.0024999999999995'
12.554643, 1.002969, 12.842728, 5, 0.288085, svm_C='50.050000000000004', svm_gamma='0.01'
20.631326, 1.000708, 21.165158, 6, 0.533833, svm_C='75.025', svm_gamma='0.01'
