"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000090, 1, 0.000090, svm_C='1.0', svm_gamma='1.0'
3.787147, 1.051712, 3.837407, 1, 0.050260, svm_C='1.0', svm_gamma='1.0'
41.415385, 1.051482, 42.337687, 2, 0.922302, svm_C='3.925594627399441', svm_gamma='0.3188755939176752'
46.015931, 1.042260, 47.033087, 3, 1.017156, svm_C='4.801175107597434', svm_gamma='0.28819318254942516'
71.376411, 0.994826, 72.895402, 4, 1.518991, svm_C='2.82043960732495', svm_gamma='0.05792356089499804'
95.474740, 0.994177, 97.597214, 5, 2.122474, svm_C='4.719981166710365', svm_gamma='0.05792356089499804'
110.013296, 0.985698, 112.552662, 6, 2.539366, svm_C='3.624881556188423', svm_gamma='0.048648183648603835'
138.941909, 0.939693, 142.228004, 7, 3.286095, svm_C='44.25669565655845', svm_gamma='0.02516326325446297'
141.323318, 0.936007, 144.686745, 8, 3.363427, svm_C='37.0348436571404', svm_gamma='0.02665623669298456'
157.121971, 0.933586, 160.868750, 9, 3.746779, svm_C='45.43730102552941', svm_gamma='0.02516326325446297'
192.290360, 0.927130, 196.804137, 10, 4.513777, svm_C='42.96910397458655', svm_gamma='0.02352202293334859'
207.178472, 0.923746, 211.996849, 11, 4.818378, svm_C='94.15930358982135', svm_gamma='0.02237761737579264'
345.308546, 0.870520, 353.583288, 12, 8.274742, svm_C='67.0763278990571', svm_gamma='0.010767008252102339'
350.913990, 0.870230, 359.346239, 13, 8.432249, svm_C='76.06267544753084', svm_gamma='0.010767008252102339'
380.447144, 0.869723, 389.538762, 14, 9.091618, svm_C='90.87591088555423', svm_gamma='0.010767008252102339'
393.680539, 0.863059, 403.092041, 15, 9.411502, svm_C='92.09050655239571', svm_gamma='0.010767008252102339'
